,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,byron bay,100.0,AU,1579737302,83.0,-28.65,153.62,87.99799999999999,11.520000000000001
1,nikolskoye,20.0,RU,1579737127,54.0,59.7,30.79,28.399999999999977,16.0
2,port alfred,80.0,ZA,1579737466,97.0,-33.59,26.89,62.00600000000003,1.4240000000000002
3,fairbanks,75.0,US,1579737189,76.0,64.84,-147.72,-7.006000000000029,0.35200000000000004
4,atuona,17.0,PF,1579737449,73.0,-9.8,-139.03,81.13999999999993,8.224
5,kitimat,90.0,CA,1579737467,95.0,54.05,-128.65,33.99799999999999,3.3600000000000003
6,punta arenas,100.0,CL,1579737126,71.0,-53.15,-70.92,51.799999999999955,9.120000000000001
7,derzhavinsk,100.0,KZ,1579737467,91.0,51.1,66.32,27.21199999999999,20.448
8,college,75.0,US,1579736659,76.0,64.86,-147.8,-4.0,0.336
9,ushuaia,75.0,AR,1579737126,58.0,-54.8,-68.3,53.599999999999966,1.6960000000000002
10,haysville,90.0,US,1579737427,93.0,37.56,-97.35,37.99400000000003,7.359999999999999
11,kapaa,1.0,US,1579737042,69.0,22.08,-159.32,78.80000000000001,5.760000000000001
12,kavaratti,29.0,IN,1579737469,77.0,10.57,72.64,81.86000000000007,8.32
13,cape town,0.0,ZA,1579737182,59.0,-33.93,18.42,66.9919999999999,5.760000000000001
14,le port,100.0,RE,1579737470,88.0,-20.94,55.29,78.80000000000001,4.16
15,dilla,100.0,ET,1579737470,56.0,6.41,38.31,53.25799999999998,2.4800000000000004
16,drayton valley,70.0,CA,1579737471,88.0,53.22,-114.99,26.689999999999998,1.7280000000000002
17,saint george,1.0,US,1579737304,57.0,37.1,-113.58,55.39999999999992,3.3600000000000003
18,dikson,100.0,RU,1579737471,94.0,73.51,80.55,-14.584000000000003,10.240000000000002
19,sola,42.0,VU,1579737471,66.0,-13.88,167.55,81.608,8.576
20,nome,90.0,US,1579737472,84.0,64.5,-165.41,6.7999999999999545,5.28
21,albany,1.0,US,1579736971,63.0,42.6,-73.97,28.00400000000002,3.3600000000000003
22,hithadhoo,26.0,MV,1579737473,80.0,-0.6,73.08,84.05599999999998,11.36
23,hobart,75.0,AU,1579737180,82.0,-42.88,147.33,60.00799999999998,4.16
24,dali,0.0,CN,1579737473,84.0,25.7,100.18,30.289999999999964,2.336
25,puerto ayora,40.0,EC,1579736829,65.0,-0.74,-90.35,82.39999999999992,5.760000000000001
26,busselton,76.0,AU,1579736828,48.0,-33.65,115.33,69.99799999999999,6.976000000000001
27,hofn,36.0,IS,1579737474,68.0,64.25,-15.21,39.56000000000006,33.61600000000001
28,bluff,92.0,NZ,1579737124,74.0,-46.6,168.33,64.00399999999996,10.016
29,mar del plata,90.0,AR,1579737442,94.0,-38.0,-57.56,69.80000000000001,4.960000000000001
30,geraldton,0.0,AU,1579737476,72.0,-28.77,114.6,67.99999999999994,11.520000000000001
31,necocli,40.0,CO,1579737476,78.0,8.42,-76.79,82.39999999999992,6.56
32,chumikan,0.0,RU,1579737476,88.0,54.72,135.31,-12.010000000000048,3.2479999999999998
33,bengkulu,93.0,ID,1579737477,94.0,-3.8,102.27,73.25600000000003,2.4800000000000004
34,pevek,100.0,RU,1579737456,99.0,69.7,170.31,-17.22999999999996,2.5760000000000005
35,vaini,75.0,TO,1579737316,78.0,-21.2,-175.2,82.39999999999992,9.120000000000001
36,bubaque,100.0,GW,1579737477,63.0,11.28,-15.83,78.13399999999996,11.520000000000001
37,santa cruz,36.0,BO,1579737478,78.0,-17.8,-63.17,80.59999999999997,8.16
38,avarua,100.0,CK,1579737478,94.0,-21.21,-159.78,78.80000000000001,5.760000000000001
39,cairns,40.0,AU,1579737479,66.0,-16.92,145.77,91.99400000000009,2.4000000000000004
40,novyy urengoy,100.0,RU,1579737479,95.0,66.08,76.63,0.42799999999999727,11.520000000000001
41,yellowknife,90.0,CA,1579737479,84.0,62.46,-114.35,4.999999999999943,7.359999999999999
42,mount isa,40.0,AU,1579737480,70.0,-20.73,139.5,84.19999999999999,8.16
43,nanortalik,100.0,GL,1579737480,64.0,60.14,-45.24,25.628000000000043,19.712000000000003
44,castro,100.0,BR,1579737480,92.0,-24.79,-50.01,58.76600000000002,6.08
45,port said,49.0,EG,1579737481,81.0,31.26,32.28,53.599999999999966,4.16
46,mataura,93.0,NZ,1579737481,74.0,-46.19,168.86,64.00399999999996,10.016
47,tigil,86.0,RU,1579737481,86.0,57.8,158.67,-1.156000000000006,1.968
48,honningsvag,75.0,NO,1579737482,73.0,70.98,25.97,26.599999999999966,13.92
49,bredasdorp,0.0,ZA,1579737126,87.0,-34.53,20.04,64.00399999999996,3.3600000000000003
50,richards bay,100.0,ZA,1579737483,73.0,-28.78,32.04,74.46200000000005,2.384
51,brae,100.0,GB,1579737351,93.0,60.4,-1.35,48.19999999999993,21.44
52,ilulissat,100.0,GL,1579737127,78.0,69.22,-51.1,12.199999999999932,12.32
53,ternate,71.0,ID,1579737483,71.0,0.8,127.4,80.88799999999998,1.6800000000000002
54,bajil,100.0,YE,1579737484,87.0,15.06,43.29,68.07199999999995,1.6960000000000002
55,nuth,90.0,NL,1579737484,100.0,50.92,5.89,39.19999999999993,2.4000000000000004
56,wuda,0.0,CN,1579737484,62.0,39.5,106.71,19.18399999999997,0.5599999999999999
57,iwanai,16.0,JP,1579737485,76.0,42.97,140.51,29.31800000000004,2.5920000000000005
58,obo,58.0,CF,1579737485,22.0,5.4,26.49,65.83999999999997,4.960000000000001
59,rawson,30.0,AR,1579737485,69.0,-43.3,-65.1,67.42399999999992,9.536
60,ancud,52.0,CL,1579737486,64.0,-41.87,-73.82,67.99999999999994,6.56
61,flinders,72.0,AU,1579737334,10.0,-34.58,150.86,98.99600000000004,14.880000000000003
62,vila franca do campo,75.0,PT,1579737487,76.0,37.72,-25.43,55.39999999999992,4.16
63,novomyrhorod,94.0,UA,1579737487,78.0,48.78,31.64,31.676000000000045,12.496
64,chokurdakh,100.0,RU,1579737450,97.0,70.63,147.92,-20.956000000000017,6.208
65,lebu,0.0,CL,1579737488,74.0,-37.62,-73.65,61.10599999999994,4.224
66,huarmey,93.0,PE,1579737488,72.0,-10.07,-78.15,73.25600000000003,3.8240000000000003
67,manono,100.0,CD,1579737488,97.0,-7.3,27.42,68.666,1.1199999999999999
68,port elizabeth,20.0,ZA,1579737489,93.0,-33.92,25.57,62.599999999999966,4.16
69,puerto escondido,40.0,MX,1579737300,78.0,15.85,-97.07,80.59999999999997,4.960000000000001
70,narsaq,75.0,GL,1579737489,72.0,60.92,-46.05,17.599999999999966,4.16
71,hilo,40.0,US,1579737490,54.0,19.73,-155.09,80.59999999999997,8.16
72,mandera,97.0,KE,1579737490,35.0,3.94,41.87,82.382,5.488
73,ammon,75.0,US,1579737490,86.0,43.47,-111.97,30.991999999999962,9.120000000000001
74,ulaangom,100.0,MN,1579737490,85.0,49.98,92.07,-4.665999999999997,1.6960000000000002
75,ayagoz,100.0,KZ,1579737491,94.0,47.97,80.44,18.086000000000013,10.240000000000002
76,gat,40.0,IL,1579737491,93.0,31.61,34.76,48.19999999999993,2.4000000000000004
77,ilukste,21.0,LV,1579737491,69.0,55.98,26.3,31.153999999999996,6.4319999999999995
78,esso,0.0,RU,1579737492,74.0,55.93,158.7,-7.312000000000012,0.8960000000000001
79,klaksvik,100.0,FO,1579737492,100.0,62.23,-6.59,46.39999999999998,7.359999999999999
80,tasiilaq,22.0,GL,1579737492,73.0,65.61,-37.64,19.399999999999977,23.840000000000003
81,rikitea,51.0,PF,1579737453,75.0,-23.12,-134.97,79.26800000000009,8.304
82,faya,40.0,SA,1579737493,87.0,18.39,42.45,53.599999999999966,4.960000000000001
83,bati,73.0,ET,1579737493,88.0,11.18,40.02,60.78199999999998,2.016
84,cidreira,100.0,BR,1579737304,81.0,-30.18,-50.21,71.92399999999992,10.448
85,chara,100.0,RU,1579737494,65.0,56.91,118.26,-23.152000000000044,3.3600000000000003
86,karabuk,96.0,TR,1579737494,66.0,41.2,32.63,29.515999999999963,3.072
87,liepaja,0.0,LV,1579737494,69.0,56.54,21.04,39.19999999999993,4.960000000000001
88,georgetown,20.0,MY,1579737495,78.0,5.41,100.34,78.80000000000001,3.3600000000000003
89,syracuse,75.0,IT,1579737495,100.0,37.09,15.28,51.799999999999955,6.368
90,liverpool,90.0,GB,1579737495,100.0,53.41,-2.98,44.99599999999998,2.4000000000000004
91,basugaon,43.0,IN,1579737496,71.0,26.47,90.4,55.95799999999991,1.968
92,andenes,100.0,NO,1579737496,68.0,69.31,16.12,31.999999999999943,8.16
93,general pico,0.0,AR,1579737496,24.0,-35.66,-63.76,84.50600000000003,4.048
94,thompson,20.0,CA,1579737497,77.0,55.74,-97.86,-0.39999999999997726,1.6
95,lake city,90.0,US,1579737497,63.0,30.19,-82.64,55.00399999999996,4.16
96,codrington,99.0,AU,1579737497,70.0,-38.27,141.97,59.27000000000004,24.72
97,darab,99.0,IR,1579737498,86.0,28.75,54.54,48.02000000000004,0.5599999999999999
98,butaritari,63.0,KI,1579737498,63.0,3.07,172.79,84.632,3.152
99,saint-philippe,90.0,RE,1579737453,94.0,-21.36,55.77,78.80000000000001,9.120000000000001
100,sao filipe,50.0,CV,1579737499,79.0,14.9,-24.5,70.46599999999995,5.424
101,katsuura,90.0,JP,1579737499,70.0,35.13,140.3,44.599999999999966,4.960000000000001
102,zhaotong,90.0,CN,1579737500,84.0,27.32,103.72,32.539999999999964,1.6800000000000002
103,vuktyl,98.0,RU,1579737500,97.0,63.86,57.31,11.26400000000001,3.6799999999999997
